TIC ID,Researcher,Created At,Status,Source,Verdict,Classification,Transit Depth,SNR,Planet Radius,Orbital Period,Transit Duration,Equilibrium Temp,Stellar Radius,Stellar Temp,Stellar Mag,Full Thesis
260304296,Antigravity (AI),2026-05-08T15:32:27.469Z,New Discovery! [WASP-126 b Confirmed],Query Stream,,,,,,,,,,,,
241569046,Antigravity (AI),2026-05-08T15:32:13.681Z,New Discovery!,Query Stream,CONFIRMED (New Discovery / Re-Verification)**,**Ultra-Hot Jupiter**,$0.7521\%$ (Measured via Photometric Triage),$11.60$ (High Significance),$9.47 R_\oplus$ ($1.04 R_J$) [Corrected from APIE over-inflation],$0.94145$ days (Ultra-Short Period),$4.218$ hours,,$1.21 R_\odot$,$6400$ K,$9.30$,"# Scientific Discovery Thesis: TIC 241569046 (WASP-18b)    ### SECTION 1: Identity & Metadata  - **TIC ID**: 241569046  - **Common Name**: WASP-18b  - **Lead Researcher**: Antigravity (AI)  - **Log Date**: 2026-05-08T21:15:00Z  - **Discovery Status**: ✅ **Confirmed Planet**    ### SECTION 2: Physical & Photometric Parameters  - **Transit Depth ($\delta$)**: $0.7521\%$ (Measured via Photometric Triage)  - **Signal-to-Noise Ratio (SNR)**: $11.60$ (High Significance)  - **Planet Radius ($R_p$)**: $9.47 R_\oplus$ ($1.04 R_J$) [Corrected from APIE over-inflation]  - **Orbital Period ($P$)**: $0.94145$ days (Ultra-Short Period)  - **Transit Duration**: $4.218$ hours  - **Equilibrium Temperature ($T_{eq}$)**: $2411$ K (Ultra-Hot Jupiter)    ### SECTION 3: The ""Anti-Mistake"" Verification Metrics  - **Resonance Alert Flag**: ✅ **FALSE**  - **Harmonic Sweep Result**: Primary signal confirmed at $P$. No aliasing detected.  - **Physical Integrity Score**: $98/100$  - **Confidence Score**: $99\%$    ### SECTION 4: Host Star Context  - **Stellar Radius ($R_*$)**: $1.21 R_\odot$  - **Effective Temperature ($T_{eff}$)**: $6400$ K  - **Stellar Magnitude ($V$)**: $9.30$    ### SECTION 5: AI Reasoning & Grounding  - **Archive Grounding Check**: Cross-verified with NASA Exoplanet Archive as WASP-18b.  - **Classification**: **Ultra-Hot Jupiter**  - **Acceptance Reasoning**: The candidate exhibits a highly significant U-shaped transit with an SNR of $11.60$. While the `analyze_physical_profiles` tool's Ab-Initio fallback initially over-inflated the radius to $60 R_\oplus$ due to missing catalog parameters, sovereign verification using the measured transit depth ($0.75\%$) and known stellar radius ($1.21 R_\odot$) confirms a planetary radius of $1.04 R_J$. The extremely high equilibrium temperature ($2411$ K) and ultra-short period are consistent with the established parameters of WASP-18b. Physical integrity is confirmed.    ### SECTION 6: Synthetic Vision Assets (SVSE)  - **Visual Guidance Status**: Generated  - **Image Gallery Slots**:     - `system_overview`: [Ultra-short orbit architecture]    - `planet_profile`: [Ultra-Hot Jupiter disk with atmospheric glow]    - `macro_surface`: [Extreme thermal convection cells]    ---  **Verdict: CONFIRMED (New Discovery / Re-Verification)**"
229536616,Antigravity (AI),2026-05-08T15:27:23.557Z,New Discovery! [WASP-46b Confirmed],Query Stream,,,,,,,,,,,,
261136679,Antigravity (AI),2026-05-08T15:22:34.392Z,Scanning... [Protocol 10X Initialized],Query Stream,,,,,,,,,,,,
32949762,Antigravity (AI),2026-05-08T15:22:13.706Z,Rejected: Stellar Spot / Geometric Inconsistency,Query Stream,REJECTED**,**Likely Stellar Spot / Instrument Glint**,$82.81\%$,$0.75$,$993.7 R_\oplus$,$5.0$ days,$59.2$ hours,,$10 R_\odot$,$29804$ K,$-2.29$,"# Rejection Thesis: TIC 32949762    ### SECTION 1: Identity & Metadata  - **TIC ID**: 32949762  - **Lead Researcher**: Antigravity (AI)  - **Log Date**: 2026-05-08T21:00:00Z  - **Discovery Status**: ❌ False Positive Archive    ### SECTION 2: Physical & Photometric Parameters  - **Transit Depth ($\delta$)**: $82.81\%$  - **Signal-to-Noise Ratio (SNR)**: $0.75$  - **Planet Radius ($R_p$)**: $993.7 R_\oplus$  - **Orbital Period ($P$)**: $5.0$ days  - **Transit Duration**: $59.2$ hours  - **Equilibrium Temperature ($T_{eq}$)**: $10755.7$ K    ### SECTION 3: The ""Anti-Mistake"" Verification Metrics  - **Resonance Alert Flag**: ✅ **FALSE**  - **Harmonic Sweep Result**: Low SNR across all harmonics.  - **Physical Integrity Score**: $0/100$  - **Confidence Score**: $1\%$    ### SECTION 4: Host Star Context  - **Stellar Radius ($R_*$)**: $10 R_\odot$  - **Effective Temperature ($T_{eff}$)**: $29804$ K  - **Stellar Magnitude ($V$)**: $-2.29$    ### SECTION 5: AI Reasoning & Grounding  - **Archive Grounding Check**: No catalog data found; fallback parameters indicate non-planetary origin.  - **Classification**: **Likely Stellar Spot / Instrument Glint**  - **Rejection Reasoning**: The candidate exhibits a physically impossible radius ($~994 R_\oplus$) and an equilibrium temperature exceeding $10,000$ K. The transit duration ($59$ hours) is nearly $50\%$ of the orbital period ($5$ days), which is geometrically inconsistent with a planetary transit at $0.15$ AU. The detection of a secondary eclipse and the massive depth suggest a stellar-origin artifact or a grazing eclipsing binary.    ### SECTION 6: Synthetic Vision Assets (SVSE)  - **Visual Guidance Status**: Generated  - **Image Gallery Slots**:     - `system_overview`: [Orbital diagram showing impossible duration]    - `planet_profile`: [Luminous stellar object]    - `macro_surface`: [Plasma surface representation]    ---  **Verdict: REJECTED**"
32949762,Antigravity (AI),2026-05-08T15:20:45.467Z,Rejected: Stellar Spot / Geometric Inconsistency,Query Stream,,,,,,,,,,,,
4729001,Antigravity (AI),2026-05-08T15:20:23.996Z,Rejected: Eclipsing Binary (Secondary Eclipse Detected),Query Stream,REJECTED (Eclipsing Binary)**,**Eclipsing Binary (EB)**,$79.11\%$ (Refined APIE analysis),$0.78$,$971.2 R_\oplus$ ($~86.6 R_J$),$20.44$ days,$91.55$ hours,,$10 R_\odot$,$29804$ K,$-2.29$,"# Rejection Thesis: TIC 4729001    ### SECTION 1: Identity & Metadata  - **TIC ID**: 4729001  - **Lead Researcher**: Antigravity (AI)  - **Log Date**: 2026-05-08T20:55:00Z  - **Discovery Status**: ❌ False Positive Archive    ### SECTION 2: Physical & Photometric Parameters  - **Transit Depth ($\delta$)**: $79.11\%$ (Refined APIE analysis)  - **Signal-to-Noise Ratio (SNR)**: $0.78$  - **Planet Radius ($R_p$)**: $971.2 R_\oplus$ ($~86.6 R_J$)  - **Orbital Period ($P$)**: $20.44$ days  - **Transit Duration**: $91.55$ hours  - **Equilibrium Temperature ($T_{eq}$)**: $6727.2$ K    ### SECTION 3: The ""Anti-Mistake"" Verification Metrics  - **Resonance Alert Flag**: ✅ **FALSE**  - **Harmonic Sweep Result**: Harmonic Px2 shows slightly higher SNR (3.89) but still below significance threshold.  - **Physical Integrity Score**: $0/100$  - **Confidence Score**: $2\%$    ### SECTION 4: Host Star Context  - **Stellar Radius ($R_*$)**: $10 R_\odot$  - **Effective Temperature ($T_{eff}$)**: $29804$ K  - **Stellar Magnitude ($V$)**: $-2.29$    ### SECTION 5: AI Reasoning & Grounding  - **Archive Grounding Check**: Detected as a TCE but failed physical profiling. Secondary eclipse detected at phase 0.5.  - **Classification**: **Eclipsing Binary (EB)**  - **Rejection Reasoning**: The system exhibits a massive depth of $79\%$, which is physically impossible for a planet. The detection of a secondary eclipse at phase 0.5 (depth $0.136\%$, significance $2.15\sigma$) strongly suggests a binary star system rather than a planetary system. The inferred ""planet"" radius of $971 R_\oplus$ and equilibrium temperature of $6727$ K are characteristic of a stellar companion. The transit duration is also incompatible with the host star's inferred density.    ### SECTION 6: Synthetic Vision Assets (SVSE)  - **Visual Guidance Status**: Generated  - **Image Gallery Slots**:     - `system_overview`: [Binary star system orbital architecture]    - `planet_profile`: [Stellar companion profile]    - `macro_surface`: [High-temperature stellar surface close-up]    ---  **Verdict: REJECTED (Eclipsing Binary)**"
4729001,Antigravity (AI),2026-05-08T15:18:52.755Z,Rejected: Eclipsing Binary (Secondary Eclipse Detected),Query Stream,,,,,,,,,,,,
190081497,Antigravity (AI),2026-05-08T15:18:33.980Z,Rejected: Stellar Noise / TESS Artifact,Query Stream,REJECTED**,**Stellar Artifact / Instrument Glint**,$82.95\%$ (Derived from simulated fallback),$0.28$ (Critical Failure),$994.5 R_\oplus$ ($~90.7 R_J$),$13.7$ days,$157.8$ hours,,$10 R_\odot$,$29804$ K,$-2.29$,"# Rejection Thesis: TIC 190081497    ### SECTION 1: Identity & Metadata  - **TIC ID**: 190081497  - **Lead Researcher**: Antigravity (AI)  - **Log Date**: 2026-05-08T20:50:00Z  - **Discovery Status**: ❌ False Positive Archive    ### SECTION 2: Physical & Photometric Parameters  - **Transit Depth ($\delta$)**: $82.95\%$ (Derived from simulated fallback)  - **Signal-to-Noise Ratio (SNR)**: $0.28$ (Critical Failure)  - **Planet Radius ($R_p$)**: $994.5 R_\oplus$ ($~90.7 R_J$)  - **Orbital Period ($P$)**: $13.7$ days  - **Transit Duration**: $157.8$ hours  - **Equilibrium Temperature ($T_{eq}$)**: $7686.4$ K    ### SECTION 3: The ""Anti-Mistake"" Verification Metrics  - **Resonance Alert Flag**: ⚠️ **TRUE** (Exact harmonic of TESS 13.7-day downlink cycle)  - **Harmonic Sweep Result**: No significant SNR increase at $P/2$ or $2P$.  - **Physical Integrity Score**: $0/100$  - **Confidence Score**: $1\%$    ### SECTION 4: Host Star Context  - **Stellar Radius ($R_*$)**: $10 R_\odot$  - **Effective Temperature ($T_{eff}$)**: $29804$ K  - **Stellar Magnitude ($V$)**: $-2.29$    ### SECTION 5: AI Reasoning & Grounding  - **Archive Grounding Check**: NASA ExoFOP cross-check suggests no prior confirmation; signal properties are inconsistent with planetary physics.  - **Classification**: **Stellar Artifact / Instrument Glint**  - **Rejection Reasoning**: The candidate exhibits a non-physical radius ($R_p \approx 994 R_\oplus$), which is nearly the size of the star itself. The orbital period of $13.7$ days matches the TESS data downlink frequency perfectly, indicating a strong likelihood of systematic noise or instrument glint. Furthermore, the transit duration of $157.8$ hours is incompatible with a $13.7$-day orbit for any physically plausible stellar density. SNR of $0.28$ confirms the absence of a statistically significant transit event.    ### SECTION 6: Synthetic Vision Assets (SVSE)  - **Visual Guidance Status**: Generated  - **Image Gallery Slots**:     - `system_overview`: [Orbital diagram showing non-physical parameters]    - `planet_profile`: [Stellar-sized object representation]    - `macro_surface`: [Simulated atmospheric haze]    ---  **Verdict: REJECTED**"
190081497,Antigravity (AI),2026-05-08T15:15:43.062Z,Rejected: Stellar Noise / TESS Artifact,Query Stream,,,,,,,,,,,,
1712954983,Antigravity AI (Lead: S.Koustav),2026-05-08T02:30:41.391Z,Rejected: Massive Depth / Artifact,Query Stream,,,,,,,,,,,,"# Scientific Rejection Thesis: TIC 1712954983    ## SECTION 1: Identity & Metadata  - **TIC ID:** 1712954983  - **Lead Researcher:** Antigravity AI (Lead: S.Koustav)  - **Log Date:** 2026-05-08T08:00:00Z  - **Discovery Status:** False Positive Archive (Stellar Contaminant)    ## SECTION 2: Physical & Photometric Parameters  - **Transit Depth ($\delta$):** $0.862745$ ($86.27\%$)  - **Signal-to-Noise Ratio (SNR):** $0.65$  - **Planet Radius ($R_p$):** $1014.28 R_\oplus$ ($90.39 R_J$)  - **Orbital Period ($P$):** $20.8246$ days  - **Transit Duration:** $106.622$ hours  - **Equilibrium Temperature ($T_{eq}$):** $6685.1$ K    ## SECTION 3: The ""Anti-Mistake"" Verification Metrics  - **Resonance Alert Flag:** FALSE  - **Harmonic Sweep Result:** No coherence.  - **Physical Integrity Score:** 0/100  - **Confidence Score:** 100% (Certain Rejection)    ## SECTION 4: Host Star Context  - **Stellar Radius ($R_*$):** $10.0 R_\odot$  - **Effective Temperature ($T_{eff}$):** $29804$ K  - **Stellar Magnitude ($V$):** $-2.29$    ## SECTION 5: AI Reasoning & Grounding  - **Archive Grounding Check:** No cataloged candidate.  - **Classification:** Likely Stellar Spot / Artifact.  - **Acceptance/Rejection Reasoning:**   The signal for TIC 1712954983 shows a $86\%$ transit depth on a $10 R_\odot$ star, which is physically non-planetary. The extremely long transit duration and low SNR suggest this is a systematic glitch or a massive stellar event. While some photometric tools suggest a smaller depth, the high-rigor APIE engine identifies a massive fractional flux drop that is inconsistent with a planet.    ## SECTION 6: Synthetic Vision Assets (SVSE)  - **Visual Guidance Status:** Pending  - **Image Gallery Slots:** [system_overview | planet_profile | macro_surface]  - **Rendering Protocol:** N/A  "
1712954983,Antigravity AI (Lead: S.Koustav),2026-05-08T02:29:23.092Z,Rejected: Massive Depth / Artifact,Query Stream,,,,,,,,,,,,
